[2025-11-11 15:12:54] [INFO    ] discord.client: logging in using static token
[2025-11-11 15:12:55] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-11-11 15:12:55] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-11-11 15:12:55] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1369914879661707264', 'username': 'Suki', 'avatar': '95d0d018f95a432607f548a7854af957', 'discriminator': '0782', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-11-11 15:12:56] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-11-11 15:12:56] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-11-11 15:12:56] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1369914879661707264', 'name': 'Suki', 'icon': '95d0d018f95a432607f548a7854af957', 'description': '', 'type': None, 'bot': {'id': '1369914879661707264', 'username': 'Suki', 'avatar': '95d0d018f95a432607f548a7854af957', 'discriminator': '0782', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '1397b65c2a33d3480139f29d33e7c50902fa33d90825c32946d5aa27607a50a0', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '909906165385801728', 'username': 'd_sh4an', 'avatar': '10fabff6596e3dac262d355b36673780', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': None, 'global_name': 'Sh4aN', 'avatar_decoration_data': {'asset': 'a_3c97a2d37f433a7913a1c7b7a735d000', 'sku_id': '1144308439720394944', 'expires_at': None}, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2272, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-11-11 15:12:57] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-11-11 15:12:57] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-452d",{"micros":0.0}]']}}
[2025-11-11 15:12:57] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-11-11 15:12:57] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-11-11 15:12:57] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Suki', 'primary_guild': None, 'mfa_enabled': True, 'id': '1369914879661707264', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '0782', 'clan': None, 'bot': True, 'avatar': '95d0d018f95a432607f548a7854af957'}, 'session_type': 'normal', 'session_id': 'e09a3d19b25baab947487d1483f52a0f', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1419598232954343426'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['india', 'singapore', 'dubai', 'hongkong', 'saudi-arabia'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1369914879661707264', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-c-452d",{"micros":176144,"calls":["id_created",{"micros":392,"calls":[]},"session_lookup_time",{"micros":4337,"calls":[]},"session_lookup_finished",{"micros":9,"calls":[]},"discord-sessions-prd-2-59",{"micros":170784,"calls":["start_session",{"micros":159596,"calls":["discord-api-rpc-5b95bfdbcf-g8h4m",{"micros":68807,"calls":["get_user",{"micros":16293},"get_guilds",{"micros":5614},"send_scheduled_deletion_message",{"micros":17},"guild_join_requests",{"micros":3},"authorized_ip_coro",{"micros":13},"pending_payments",{"micros":58037},"apex_experiments",{"micros":15760},"user_activities",{"micros":7},"played_application_ids",{"micros":4},"linked_users",{"micros":3}]}]},"starting_guild_connect",{"micros":55,"calls":[]},"presence_started",{"micros":312,"calls":[]},"guilds_started",{"micros":67,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":10726,"calls":[]},"connect_finished",{"micros":10734,"calls":[]},"build_ready",{"micros":16,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-11-11 15:12:57] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-11 15:12:57] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: e09a3d19b25baab947487d1483f52a0f).
[2025-11-11 15:12:57] [DEBUG   ] discord.client: Dispatching event connect
